พื้นที่,ชาย,หญิง,รวม
ยอดรวมทั้งหมด,"32,215,888","33,825,351","66,041,239"
กรุงเทพมหานคร,"2,554,230","2,915,202","5,469,432"
จังหวัดสมุทรปราการ,"651,750","722,084","1,373,834"
จังหวัดนนทบุรี,"606,434","702,468","1,308,902"
จังหวัดปทุมธานี,"577,473","643,481","1,220,954"
จังหวัดพระนครศรีอยุธยา,"394,217","427,919","822,136"
จังหวัดอ่างทอง,"129,377","141,198","270,575"
จังหวัดลพบุรี,"362,104","366,989","729,093"
จังหวัดสิงห์บุรี,"95,598","105,672","201,270"
จังหวัดชัยนาท,"151,675","164,323","315,998"
จังหวัดสระบุรี,"313,003","325,695","638,698"
จังหวัดชลบุรี,"788,529","831,023","1,619,552"
จังหวัดระยอง,"378,572","393,798","772,370"
จังหวัดจันทบุรี,"261,713","274,612","536,325"
จังหวัดตราด,"112,053","114,836","226,889"
จังหวัดฉะเชิงเทรา,"357,618","373,277","730,895"
จังหวัดปราจีนบุรี,"246,624","253,068","499,692"
จังหวัดนครนายก,"128,480","131,503","259,983"
จังหวัดสระแก้ว,"281,117","281,736","562,853"
จังหวัดนครราชสีมา,"1,285,961","1,339,025","2,624,986"
จังหวัดบุรีรัมย์,"778,867","793,824","1,572,691"
จังหวัดสุรินทร์,"679,236","687,959","1,367,195"
จังหวัดศรีสะเกษ,"721,136","728,422","1,449,558"
จังหวัดอุบลราชธานี,"931,336","937,987","1,869,323"
จังหวัดยโสธร,"263,119","265,577","528,696"
จังหวัดชัยภูมิ,"548,468","564,107","1,112,575"
จังหวัดอำนาจเจริญ,"185,825","188,151","373,976"
จังหวัดบึงกาฬ,"210,250","209,935","420,185"
จังหวัดหนองบัวลำภู,"252,129","254,300","506,429"
จังหวัดขอนแก่น,"872,236","906,400","1,778,636"
จังหวัดอุดรธานี,"769,321","788,532","1,557,853"
จังหวัดเลย,"317,521","317,508","635,029"
จังหวัดหนองคาย,"254,470","259,346","513,816"
จังหวัดมหาสารคาม,"459,767","477,451","937,218"
จังหวัดร้อยเอ็ด,"634,940","649,280","1,284,220"
จังหวัดกาฬสินธุ์,"477,702","490,017","967,719"
จังหวัดสกลนคร,"567,040","575,250","1,142,290"
จังหวัดนครพนม,"355,442","358,599","714,041"
จังหวัดมุกดาหาร,"175,582","175,905","351,487"
จังหวัดเชียงใหม่,"865,603","931,467","1,797,070"
จังหวัดลำพูน,"190,748","207,556","398,304"
จังหวัดลำปาง,"345,192","365,625","710,817"
จังหวัดอุตรดิตถ์,"213,722","225,647","439,369"
จังหวัดแพร่,"204,576","221,288","425,864"
จังหวัดน่าน,"235,886","236,632","472,518"
จังหวัดพะเยา,"222,173","235,795","457,968"
จังหวัดเชียงราย,"629,787","668,900","1,298,687"
จังหวัดแม่ฮ่องสอน,"145,483","142,142","287,625"
จังหวัดนครสวรรค์,"496,986","524,194","1,021,180"
จังหวัดอุทัยธานี,"157,212","164,904","322,116"
จังหวัดกำแพงเพชร,"347,344","357,217","704,561"
จังหวัดตาก,"349,842","342,602","692,444"
จังหวัดสุโขทัย,"279,381","298,090","577,471"
จังหวัดพิษณุโลก,"410,864","430,547","841,411"
จังหวัดพิจิตร,"254,089","267,384","521,473"
จังหวัดเพชรบูรณ์,"475,556","491,342","966,898"
จังหวัดราชบุรี,"419,177","445,543","864,720"
จังหวัดกาญจนบุรี,"447,887","447,475","895,362"
จังหวัดสุพรรณบุรี,"397,782","428,130","825,912"
จังหวัดนครปฐม,"443,142","481,358","924,500"
จังหวัดสมุทรสาคร,"284,260","307,690","591,950"
จังหวัดสมุทรสงคราม,"89,591","98,251","187,842"
จังหวัดเพชรบุรี,"232,853","250,865","483,718"
จังหวัดประจวบคีรีขันธ์,"270,089","280,936","551,025"
จังหวัดนครศรีธรรมราช,"760,550","779,605","1,540,155"
จังหวัดกระบี่,"239,508","242,720","482,228"
จังหวัดพังงา,"133,313","133,652","266,965"
จังหวัดภูเก็ต,"199,608","224,401","424,009"
จังหวัดสุราษฎร์ธานี,"528,409","547,508","1,075,917"
จังหวัดระนอง,"97,217","95,995","193,212"
จังหวัดชุมพร,"250,900","257,887","508,787"
จังหวัดสงขลา,"696,572","735,213","1,431,785"
จังหวัดสตูล,"162,003","163,424","325,427"
จังหวัดตรัง,"311,096","325,733","636,829"
จังหวัดพัทลุง,"253,171","267,300","520,471"
จังหวัดปัตตานี,"364,628","372,819","737,447"
จังหวัดยะลา,"273,300","276,777","550,077"
จังหวัดนราธิวาส,"405,473","414,278","819,751"
